,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
1754,CANDIDATE,8.1484094,3.168587,13497.6071224,13497.6071224,10.1405034,5320.0,0.873132,4.52,0.5324576222144732
1755,CANDIDATE,16.7224532,4.223,11640.0,11640.0,9.46753,5560.0,0.88,4.54,0.6630173854955626
1756,CANDIDATE,6.6857865,2.896,6690.0,6690.0,9.65352,6144.3,1.13,4.4,0.0477139117123737
1757,CANDIDATE,,8.475,5180.0,5180.0,12.0956,6421.5,1.64,4.12,-0.4551648011037581
1758,CANDIDATE,16.4452725,3.038,11810.0,11810.0,9.85518,5278.0,0.88,4.51,0.6975719169317587
1759,CANDIDATE,31.9919595,8.8239957,13054.0547159,13054.0547159,,5780.0,,4.438,0.6974493831323387
1761,CANDIDATE,2.9103781,3.606,1480.0,1480.0,12.2597,7340.8,3.5,4.09,-0.5923413895534805
1762,CANDIDATE,0.985586,1.5285482,1343.3387762,1343.3387762,5.2012051,5799.4,1.38013,4.11,-0.0019735439520852
1764,CANDIDATE,12.7187255,3.1582562,1144.1789073,1144.1789073,2.5924633,4036.3,0.661076,4.65,-2.016122871904124
1765,CANDIDATE,22.0819969,3.073,1019.0,1019.0,2.28729,4036.3,0.66,4.65,-2.016122871904124
1766,CANDIDATE,1.4118418,2.702,520.0,520.0,8.14924,7839.6,3.52,4.13,-1.016430869343108
1767,CANDIDATE,4.1133928,2.7670768,24315.2652878,24315.2652878,,5780.0,,4.438,2.093048091616582
1771,CANDIDATE,2.1811989,0.428,2300.0,2300.0,18.7156,6125.96,1.46,4.17403,0.1578717973901765
1775,CANDIDATE,4.8580501,5.7405699,11067.0819039,11067.0819039,,8303.0,,4.438,0.1030379221501128
1778,CANDIDATE,5.436841,2.335,2660.0,2660.0,7.79881,7980.0,1.49,4.37685,0.124113735650205
1779,CANDIDATE,2.3701119,1.8215643,2049.0263458,2049.0263458,3.0793796,4007.0,0.684741,4.56359,0.1913847915313103
1780,CANDIDATE,8.3848067,4.5181283,11925.6417552,11925.6417552,11.5945537,5757.5,1.02264,4.29,0.1584844663872718
1783,CANDIDATE,8.0149323,4.6198374,4426.4689118,4426.4689118,9.5021286,5886.2,1.3302799,4.25,-0.5290526821534965
1784,CANDIDATE,9.8302309,4.0164674,5116.722044,5116.722044,27.5606205,6683.6,2.86532,,-0.2200224400184368
1785,CANDIDATE,17.7859152,4.2520718,6535.8664276,6535.8664276,12.0078948,5834.0,1.38395,4.25,0.0784698953665768
1786,CANDIDATE,4.2002507,2.627,25670.0,25670.0,14.9915,5709.9,0.91,4.53,0.9498077430360488
1789,CANDIDATE,3.5511203,2.634,19660.0,19660.0,13.8379,5321.0,0.98,4.42,1.2063322521200084
1790,CANDIDATE,2.7754004,3.142,8510.0,8510.0,15.2778,5905.0,1.62,4.05,0.3593786305349441
1791,CANDIDATE,4.0483695,2.896,12060.0,12060.0,13.766,6054.0,1.24,4.3,0.6314649321451347
1792,CANDIDATE,5.0182311,2.301,16210.0,16210.0,13.248,5487.0,1.02,4.41,1.1156572405498484
1793,CANDIDATE,3.7257237,2.38162,8787.4795537,8787.4795537,11.5792771,5698.0,1.1429501,4.33,0.5541461047116598
1794,CANDIDATE,3.9704457,3.7793044,3689.4781363,3689.4781363,11.7222736,5840.0,1.89732,3.9,0.4903672621140004
1795,CANDIDATE,4.2102425,2.9567547,9271.0628122,9271.0628122,8.4263554,4927.6,0.816613,4.52,0.9166010833934632
1797,CANDIDATE,3.4843271,3.522,10320.0,10320.0,15.9782,7250.0,1.57,4.26,0.3309507890697046
1798,CANDIDATE,13.1147744,4.318,3890.0,3890.0,9.79059,5496.1,1.54,4.04,-0.2370546381376971
1802,CANDIDATE,3.5985851,4.015,6710.0,6710.0,11.8109,6303.0,1.45,4.21,1.037970811718116
1803,CANDIDATE,4.5815438,3.367,19550.0,19550.0,15.1889,5525.0,1.07,4.37,0.981421463286185
1804,CANDIDATE,4.4817684,2.186,21180.0,21180.0,19.0204,6734.0,1.25,4.41,0.8069945998130462
1805,CANDIDATE,3.1711207,3.6276575,8504.6805867,8504.6805867,13.924729,6140.0,1.45618,4.18,0.973027898025974
1806,CANDIDATE,3.8229149,3.171,11780.0,11780.0,13.5313,6166.4,1.21,4.34,0.4095562213970807
1807,CANDIDATE,3.7494409,2.452,4860.0,4860.0,13.2544,7899.0,1.89,4.16,0.019408604046553
1808,CANDIDATE,3.4580018,2.6231719,10218.255838,10218.255838,14.7324849,6427.8,1.2663,4.35,-0.5988969478224042
1812,CANDIDATE,3.5838508,3.085,12480.0,12480.0,12.4141,5450.0,1.08,4.35,0.8648305531388784
1813,CANDIDATE,3.0183134,2.78,8960.0,8960.0,9.10865,5238.0,0.93,,0.5642551431637388
1815,CANDIDATE,4.6965638,3.056,12380.0,12380.0,16.2589,6502.7,1.43,4.25,0.7150942502486944
1817,CANDIDATE,9.5835608,2.405,1150.0,1150.0,12.6233,5781.0,1.91,3.89,-0.648706937286282
1819,CANDIDATE,3.587158,1.23,3120.0,3120.0,10.0104,6495.7,1.75,4.26,-0.5468200830692711
