category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,2.620799,2.6184,9410.0,9410.0,37.0,,1.725,,-0.7356198640135504
CANDIDATE,2.62077,2.112,,,58.0,6302.0,1.4,4.23,-0.7356198640135504
CANDIDATE,1.314437,,,,3.09990986,6009.0,1.472064,4.09,-0.7356198640135504
CANDIDATE,1.3144014,1.69,426.0,426.0,2.78,6137.0,1.23,,-0.7356198640135504
CANDIDATE,4.8045244,2.33,678.0,678.0,3.62,6187.0,1.28,,-0.8575856494220286
CANDIDATE,6.14818,3.8856,1513.0,1513.0,,6591.31,2.29043,,-1.101517220238986
CANDIDATE,1.49761,2.712,222.8,222.8,,,,,-1.040534327534747
CANDIDATE,6.479656,,,,3.33165021,5586.0,0.921539,4.5,0.4230550973669968
CANDIDATE,6.48167,2.808,1249.0,1249.0,3.46,,0.922,,0.4230550973669968
CANDIDATE,6.4804111,2.94,1210.0,1210.0,3.39,5537.0,0.89,,0.4230550973669968
CANDIDATE,2.8445331,5.69,265000.0,265000.0,65.3,6045.0,1.16,,-1.3454487910559436
CANDIDATE,0.6687,2.16,119.60000000000001,119.60000000000001,2.22,,1.942,,-1.7113461472813793
CANDIDATE,13.3461,2.6568,5465.0,5465.0,42.0,,2.575,,-0.7356198640135504
CANDIDATE,4.13737,2.2368,10490.0,10490.0,24.5,,1.03,,1.2158327025221083
CANDIDATE,4.1376047,1.75,9110.0,9110.0,7.33,4581.0,0.7,,1.2158327025221083
CANDIDATE,2.469851,2.6592,1234.0,1234.0,6.6,,1.479,,-1.589380361872901
CANDIDATE,0.690458,5.8896,6655.0,6655.0,,6912.12,1.50882,,-0.7966027567177896
CANDIDATE,0.689647,,,,6.58,6481.0,1.08,4.0,-0.7966027567177896
CANDIDATE,4.1687922,6.61,16900.0,16900.0,16.1,6005.0,1.14,,-0.24775672237963545
CANDIDATE,21.17051,5.004,15771.0,15771.0,81.0,,2.536,,-0.6746369713093113
CANDIDATE,5.31937553733,6.6913995,6537.084,6537.084,19.66846395,6350.0,2.36934,3.78918,-0.30873961508387454
CANDIDATE,5.319075,6.756,7124.0,7124.0,20.0,,2.28,,-0.30873961508387454
FALSE POSITIVE,12.86772,3.08088,,,71.0,6861.0,1.79,4.11,0.11814063384580023
FALSE POSITIVE,12.866412,3.12,31311.0,31311.0,61.0,,1.642,,0.11814063384580023
FALSE POSITIVE,12.866539,3.02,30099.999999999996,30099.999999999996,22.3,6066.0,1.18,,0.11814063384580023
FALSE POSITIVE,1.8461222,2.99,9650.0,9650.0,19.5,7536.0,1.82,,0.4230550973669968
FALSE POSITIVE,1.84617,3.0,,,2.14,3252.0,0.21,5.08,0.4230550973669968
CANDIDATE,6.6223,1.224,3479.9999999999995,3479.9999999999995,,5000.0,5.54598,,1.642712951451783
CANDIDATE,0.5217136,4.0152,14286.000000000002,14286.000000000002,452.0,,11.27,,-0.8575856494220286
CANDIDATE,11.975818,6.84,78300.0,78300.0,8.43,3320.0,0.28,,1.4060993277593345
CANDIDATE,11.97495,6.786,,,256.0,5200.0,3.4,3.32,1.4060993277593345
CANDIDATE,5.9895,1.848,354.0,354.0,2.04,,1.03,,-1.5283974691686608
CANDIDATE,28.707623,3.61,35700.0,35700.0,21.2,5838.0,1.03,,-0.43070540049235384
CANDIDATE,15.4715,3.6288,,,9.2,5791.0,1.89,4.005,-0.27093022160724656
CANDIDATE,15.465691,3.08,2490.0,2490.0,4.13,4989.0,0.76,,-0.27093022160724656
CANDIDATE,15.466674,,,,16.12109089,5807.0,1.231429,4.25,-0.27093022160724656
CANDIDATE,1.4556637,2.512,29580.000000000004,29580.000000000004,,6520.0,1.84406,4.03395,-0.6307292885622584
CANDIDATE,1.45556515,2.5488,27008.0,27008.0,71.0,,2.043,,-0.6307292885622584
CANDIDATE,3.3262396,5.81,1010.0000000000001,1010.0000000000001,1.16,3404.0,0.33,,-0.3471588374875457
CANDIDATE,3.32592848,4.655,910.0,910.0,,4017.0,60.6949,,-0.3471588374875457
CANDIDATE,3.3255,7.104,1179.0,1179.0,1080.0,,85.0,,-0.3471588374875457
CANDIDATE,13.1426,5.712,5290.0,5290.0,200.0,,13.9,,1.6914992656151746
CANDIDATE,4.474513,,,,8.16881084,6081.0,2.221057,3.88,-0.13981700229313213
CANDIDATE,4.4743465,2.0,1200.0,1200.0,3.06,5248.0,0.81,,-0.13981700229313213
CANDIDATE,4.47471,3.0336,1729.9999999999998,1729.9999999999998,22.0,,2.486,,-0.13981700229313213
CANDIDATE,2.1989041,6.83,324000.0,324000.0,46.6,4938.0,0.75,,-0.5959690397208418
CANDIDATE,4.1657292,2.47,2270.0,2270.0,1.86,3442.0,0.36,,0.9847075391730405
FALSE POSITIVE,0.6308,,55199.99999999999,55199.99999999999,,,,,0.6212494986557742
CANDIDATE,0.2358684,0.7416,754.0,754.0,6.1,,1.792,,-0.1837246850401839
CANDIDATE,12.99109,1.656,6020.0,6020.0,43.0,,4.5,,1.4323219716221571
CANDIDATE,1.7359447,2.82,429.99999999999994,429.99999999999994,1.89,5354.0,0.84,,-0.15994135688553077
CANDIDATE,1.8389349,1.43,177.0,177.0,0.837,3930.0,0.58,,-1.3247146075365017
CANDIDATE,1.83916,1.5072,151.5,151.5,0.62,,0.48,,-1.3247146075365017
CANDIDATE,2.032664,1.4088,1159.0,1159.0,1.92,,0.535,,0.6736947863814201
CANDIDATE,6.11706,2.064,976.0000000000001,976.0000000000001,1.76,,0.535,,0.6736947863814201
CANDIDATE,1.859017,3.21408,,,64.0,6842.0,2.03,4.01,-0.7533049028977797
CANDIDATE,1.85872487,3.213,41430.0,41430.0,,6015.0,2.01889,3.87316,-0.7533049028977797
CANDIDATE,1.8590179,3.36,44400.00000000001,44400.00000000001,30.5,6244.0,1.33,,-0.7533049028977797
CANDIDATE,540.0,,,,5.7,5200.0,0.94,,-0.5551105016090013
CANDIDATE,,13.02,3511.0000000000005,3511.0000000000005,12.81,,1.947,,-0.5551105016090013
FALSE POSITIVE,1.4408,,16400.0,16400.0,,4154.0,1.58859,,-1.9705234412743968
FALSE POSITIVE,0.841202,0.0,,,82.0,6237.0,2.31,3.85,-0.27580885302358626
CANDIDATE,0.8411257,2.92,150.0,150.0,0.884,4289.0,0.66,,0.25596197135738163
CANDIDATE,0.17566,,,,3.11,6620.0,1.15,4.19,-0.39411566486981
CANDIDATE,29.33873041,5.083,12770.0,12770.0,,3171.0,0.528528,4.71253,1.1115519559978584
FALSE POSITIVE,22.7984,2.1288,,,9.0,6195.0,1.37,4.18,1.138994257714766
CANDIDATE,1.68027,2.616,262.0,262.0,2.9,,1.275,,-0.7642818235845422
CANDIDATE,2.54427583,2.146,120.0,120.0,,8188.0,3.23826,3.71913,-2.5077827259987444
CANDIDATE,0.7099504,2.172,16512.0,16512.0,80.0,,2.065,,-0.30630029937570524
FALSE POSITIVE,1.8204,,5000.0,5000.0,,3112.0,0.5139,4.72526,1.393902749218487
FALSE POSITIVE,2.809,,47300.00000000001,47300.00000000001,,2901.0,0.474383,4.75991,0.8914037133355551
FALSE POSITIVE,1.404411,2.28504,,,99.0,6933.0,2.02,4.02,0.8914037133355551
