category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
FP,1.692892,2.886,1418.0,1418.0,11.2371,9121.5,2.1,4.21,-0.8590362039892285
FP,2.6652007,3.49,819.0,819.0,2.35964,4043.4,0.56,4.69,-0.8749043310140066
APC,1.2615323,1.039,2841.0,2841.0,8.67407,4927.9,0.78,4.57,-0.8776613415009372
CP,6.0344667,1.89,1800.0,1800.0,4.44029,5586.0,1.05,4.36763,-1.46110602743515
CP,9.6867516,2.512,1669.0,1669.0,3.00336,4738.1,0.73,4.59,-0.8894858531448835
CP,2.1031647,5.059,7142.0,7142.0,16.7087,6122.0,1.93,3.93,-0.9097039300490405
FP,7.6416041,2.654,6025.0,6025.0,27.538,6496.7,2.05,,-0.955102702733831
FP,5.9294088,2.933,10226.0,10226.0,10.8101,5095.6,1.06,,-0.9900861024679931
CP,5.7484439,1.76,1041.0,1041.0,2.35215,4534.0,0.69,4.61,-0.9906375045653801
FP,1.1967018,1.879,824.0,824.0,10.3239,5997.0,1.73,4.0,-0.9947117533960657
FP,11.2464616,7.391,7576.0,7576.0,17.6677,6115.7,2.01,3.89,-1.0046553712189286
PC,2.5941968,0.861,907.0,907.0,4.47229,6389.0,1.4,4.26,-1.019249146729748
FP,8.5112,3.486,4172.76,4172.76,,8156.0,,4.35,-1.0275930858011941
PC,3.9687994,1.07,1760.0,1760.0,,5286.9,,,-1.0350560068548167
PC,5.5411114,2.467,633.0,633.0,2.04482,5332.0,0.82,4.56429,-1.399900394625292
PC,10.6917268,3.002,535.0,535.0,1.79811,5332.0,0.82,4.56429,-1.399900394625292
APC,3.6950015,4.515,7655.0,7655.0,14.1288,7106.7,1.63,4.2,-1.077397561244099
FP,15.7335693,3.288,2540.0,2540.0,24.3218,6800.0,2.21,3.91,-1.0909926862896522
APC,45.9403293,3.768,14807.0,14807.0,28.3312,6479.3,1.28,,-0.6518315491714702
FP,2.2219839,1.996,4394.0,4394.0,15.4416,7166.8,1.87,,-0.6632271925174505
CP,2.3106428,1.294,6911.0,6911.0,8.76741,5339.9,0.99,4.41,-0.6651264664084471
FP,4.05135,2.4,1132.23,1132.23,14.2359,4974.4,3.85,,-0.6691088148895684
PC,5.5376617,2.517,5390.0,5390.0,15.6557,6689.0,2.06,3.96,-0.6935543078736855
PC,4.5960377,4.744,5000.0,5000.0,16.2166,7649.0,2.12,4.04,-0.6979042577530655
KP,3.612771,4.142,11794.0,11794.0,19.3662,8324.0,1.71,4.28,-0.6996197309449327
CP,3.6714717,2.149,4340.0,4340.0,10.678,5618.0,1.54,4.06,-0.6994971971455138
CP,11.535076,8.555958,2389.90616,2389.90616,12.215808,5479.3,2.48771,3.77,-2.731046324615069
FP,0.8352406,1.043,2065.0,2065.0,6.4875,6105.0,1.24,4.31,-0.7118118439871377
