category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
FALSE POSITIVE,11.2071839,4.366,3276.0,3276.0,17.4989,6152.0,2.24,3.84,-1.795702946819012
CONFIRMED,4.8878037,2.184,4279.0,4279.0,5.29152,4757.3,0.76,4.56,-1.8723907251854783
FALSE POSITIVE,0.660179,1.6349369,473.0939303,473.0939303,6.1672487,8598.7,2.62432,4.1,-1.9360102738438931
FALSE POSITIVE,10.9278415,2.468,2743.0,2743.0,49.1695,6259.0,2.92,3.59,-1.9595490167123093
CONFIRMED,5.5514888,4.335,9493.0,9493.0,15.8043,6403.9,1.55,4.16,-2.2337428996725084
CONFIRMED,4.7423709,2.4988145,12650.8110411,12650.8110411,10.5505922,5377.0,0.877585,4.42476,0.9054505076463216
CONFIRMED,1.4810903,4.1588291,6788.5145388,6788.5145388,20.3402421,9435.0,2.28773,4.11,-2.4395139090370623
CONFIRMED,3.4741012,3.317,15748.0,15748.0,21.2912,8894.8,1.62,4.38,-2.4578204586702816
CANDIDATE,6.0360758,1.255,987.0,987.0,9.86763,6528.3,1.69,4.21,-1.9351035237281915
CANDIDATE,21.745537,4.196,659.0,659.0,2.10208,5704.0,0.93,4.51,-1.3754549016411748
FALSE POSITIVE,13.0727479,3.044,4080.0,4080.0,35.7944,5709.8,3.59,3.37,-1.200537902970359
FALSE POSITIVE,0.73774,0.636,524.852,524.852,5.28215,6449.5,2.1,3.94,-1.2070321943395728
CONFIRMED,2.7985802,2.3801043,16708.7151957,16708.7151957,11.9514993,4920.0,0.906655,4.49371,-0.318294547152584
CONFIRMED,2.2552845,2.05,20820.0,20820.0,14.688,5787.0,0.96,4.5,-1.1008382770729792
FALSE POSITIVE,1.8824539,2.46,1391.0,1391.0,8.29008,5900.4,1.13,4.39,-1.1049002725237231
FALSE POSITIVE,2.1358631,1.559,10325.0,10325.0,23.6019,5969.0,1.5,4.17,-0.7246778929261463
CONFIRMED,3.5862962,3.3710943,5729.3246858,5729.3246858,16.4747611,5704.8,2.00441,3.84,0.132813635408963
FALSE POSITIVE,1.8296155,2.166,1406.0,1406.0,29.3616,7875.0,3.5,3.61,-0.7442833008332079
FALSE POSITIVE,11.1876137,3.183,4924.0,4924.0,31.8624,7266.0,2.05,4.06,-0.7697090642126792
CONFIRMED,7.0643978,2.424,8268.0,8268.0,9.39131,5429.6,0.96,4.44,-0.77810262947289
