category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,12.940668656,2.4845,42450.0,42450.0,22.94,5875.0,0.809,4.572,0.6859831134296078
FALSE POSITIVE,20.5452375,2.517,218.5,218.5,2.41,5670.0,1.264,4.206,-1.6324003329967056
CONFIRMED,33.60123371,4.4056,7425.9,7425.9,8.46,5149.0,0.93,4.447,0.7199071551425712
CONFIRMED,6.76652928,2.9004,450.7,450.7,1.97,5149.0,0.93,4.447,0.7199071551425712
CONFIRMED,4.347288783,2.1024,451.6,451.6,2.36,5754.0,1.122,4.345,0.5481215822130987
CONFIRMED,4.601811819,2.2607,755.9,755.9,2.35,4986.0,0.833,4.496,0.5481215822130987
CONFIRMED,11.18719905,3.252,353.6,353.6,1.55,4986.0,0.833,4.496,0.5481215822130987
CONFIRMED,4.220965778,3.0854,2260.0,2260.0,2.62,3837.0,0.517,4.747,1.0302760474101036
FALSE POSITIVE,6.998099523,2.0488,20285.0,20285.0,588.66,5612.0,0.829,4.566,1.1638068498972982
CONFIRMED,5.95489993,2.3892,1410.7,1410.7,2.33,4261.0,0.633,4.641,0.5445126416053374
CONFIRMED,12.03987488,2.7363,1250.6,1250.6,2.18,4261.0,0.633,4.641,0.5445126416053374
CONFIRMED,20.83762895,2.3734,439.0,439.0,1.42,4261.0,0.633,4.641,0.5445126416053374
FALSE POSITIVE,8.8111022,5.0683,401.1,401.1,63.66,6200.0,2.404,3.8,-1.08672851310309
CONFIRMED,23.58917143,5.073,1200.7,1200.7,3.16,4919.0,0.721,4.566,0.7588837137064011
CONFIRMED,6.481633073,3.784,298.5,298.5,2.54,5945.0,1.302,4.213,-1.371113032994736
CONFIRMED,10.37168928,3.035,1254.9,1254.9,3.2,5121.0,0.888,4.457,0.6701037747554548
CONFIRMED,3.96996298,1.1757,299.2,299.2,1.78,5121.0,0.888,4.457,0.6701037747554548
CONFIRMED,4.40841331,5.012,549.4,549.4,2.66,6007.0,0.961,4.457,1.008622403763532
FALSE POSITIVE,7.9426176,6.703,1590.7,1590.7,4.68,5811.0,0.926,4.521,0.7184635788994659
CONFIRMED,226.8904775,7.558,3136.4,3136.4,4.53,5067.0,0.75,4.585,1.1508146637093546
FALSE POSITIVE,1.956811408,2.1958,24905.0,24905.0,21.58,5209.0,0.603,4.657,0.9155117360832712
